row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
234,1,0.197339246,0.66269947,1,0.177278527,0.26785845,0.32631579,0.230164418
235,1,0.179600887,0.201849508,0.266666667,0.205992634,0.250001339,0.586206897,0.106606775
236,1,0.605321508,0.407288648,0.746666667,0.354556929,0.214287117,0.053763441,0.106606775
237,1,0.381374723,0.612727788,0.693333333,0.119850312,0.26785845,0.640449438,0.106606775
238,0,0.033259424,0.001374207,0.333333333,0.295880275,0.232144228,0,0.354692142
239,0,0.4345898,0.006338047,0.293333333,0.086142447,0.178572895,0.084158416,0.354692142
240,0,0.239467849,0.011301886,0.44,0.184769164,0.214287117,0.00877193,0.354692142
241,1,0.605321508,0.164370745,0.493333333,0.504369663,0.357144005,0.333333333,0.385122041
242,1,0.525498891,0.332331123,0.573333333,0.338327216,0.571429337,0.049382716,0.385122041
243,1,0.319290466,0.500291501,0.426666667,0.304619351,0.500000893,0.02,0.385122041
244,0,0.800443459,0.000433852,0.586666667,0.292134956,0.285715561,0.207084469,0.311140626
245,0,0.645232816,0.004457337,0.866666667,0.285892759,0.232144228,0.003367003,0.311140626
246,0,0.199556541,0.008480822,0.28,0.186017603,0.178572895,0.760416667,0.311140626
247,0,0.494456763,0.001989877,0.28,0.531835331,0.392858227,0.209606987,0.491728801
248,0,0.161862528,0.007569387,0.573333333,0.148564419,0.160715784,0,0.491728801
249,0,0.405764967,0.013148896,0.52,0.154806617,0.160715784,0.084656085,0.491728801
250,1,0.181818182,0.330943021,0.333333333,0.247191136,0.214287117,1,0.043704702
251,1,0.139689579,0.665475675,0.373333333,0.076154931,0.178572895,0.68115942,0.043704702
252,1,0.148558758,1,0.186666667,0.179775406,0.160715784,0.849315069,0.043704702
253,1,0.188470067,0.192132791,0.12,0.133583146,0.125001563,1,0.050750551
254,1,0.55654102,0.387855215,0.76,0.257178652,0.232144228,0.155642023,0.050750551
255,1,0.223946785,0.583577639,0.266666667,0.167291011,0.26785845,0.46728972,0.050750551
256,1,0.232815965,0.23932827,0.08,0.154806617,0.214287117,0.738738739,0.115643843
257,1,0.598669623,0.482246172,0.506666667,0.339575655,0.678572003,0.010869565,0.115643843
258,1,0.241685144,0.725164074,0.506666667,0.129837828,0.392858227,0.652173913,0.115643843
259,1,0.645232816,0.283747543,0.426666667,0.278402122,0.392858227,0.27946128,0.022516098
260,1,0.485587583,0.571084719,0.333333333,0.196005119,0.232144228,0.466666667,0.022516098
261,1,0.352549889,0.858421894,0.386666667,0.161048814,0.392858227,0.993939394,0.022516098
262,1,0.54767184,0.199073303,0.6,0.257178652,0.303572672,0.616600791,0.047891366
263,1,0.270509978,0.401736238,0.106666667,0.066167416,0.321429783,0.359375,0.047891366
264,1,0.32594235,0.604399174,0.4,0.342072534,0.303572672,0.320261438,0.047891366
265,1,0.119733925,0.282359441,0.346666667,0.565543196,0.196430006,0.016666667,0.093434101
266,1,0.405764967,0.568308514,0.306666667,0.073658052,0.26785845,0.248677249,0.093434101
267,1,0.567627494,0.854257587,0.373333333,0.1922598,0.321429783,0.103053435,0.093434101
268,1,0.075388027,0.242104474,0.24,0.540574407,0.160715784,0,0.145869514
